Name,Icon (Male),Icon (Female),Equip Slot,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Model ID,Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Hidden Effect,Physical Negation (Raw),Strike Negation (Raw),Slash Negation (Raw),Pierce Negation (Raw),Magic Negation (Raw),Fire Negation (Raw),Lightning Negation (Raw),Holy Negation (Raw),Info (Unused)
Malformed Dragon Helm,,-,Head,"A malformed golden helm.
Adorned with various dragon imagery and worn by the misshapen Tree Sentinels.

After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves.",6.8,6.1,5.4,6.3,6.1,4.6,4.6,4.9,4.6,24,33,-,16,-,16,8,1000,Purple,Yes,260000,26,0000,13340,13340,1720,0,100,509080,-1,-1,-1,,0.939,0.937,0.946,0.939,0.954,0.954,0.951,0.954,"Malformed, golden helm used by Gnarrl"
Crucible Axe Helm,,-,Head,"Helm of the Crucible Knights who served Godfrey, the first Elden Lord.

The axe ornamentation is the knight Ordovis's mark, displayed also by his men.

Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",6.6,6.3,5.0,6.1,6.1,4.6,4.6,4.0,4.8,22,31,-,15,-,15,9,1000,White,Yes,570000,57,0000,13800,13800,2110,0,100,509090,6057000,-1,-1,,0.937,0.939,0.95,0.939,0.954,0.954,0.96,0.952,Helm used by Ordovis of the Crucible and his men
Crucible Tree Helm,,-,Head,"Helm of the Crucible Knights who served Godfrey, the first Elden Lord.

The great tree ornamentation is the knight Siluria's mark, displayed also by her men.

Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",6.6,6.5,5.0,6.3,5.6,4.6,4.2,4.0,5.2,22,31,-,15,-,15,9,1000,White,Yes,571000,57,1000,13810,13810,2115,0,100,509100,6057100,-1,-1,,0.935,0.937,0.95,0.944,0.954,0.958,0.96,0.948,Helm used by Siluria of the Crucible and her men
Radahn's Redmane Helm,,-,Head,"Helm of the golden lion, with flowing red hair.
Worn by General Radahn.

Radahn inherited the furious, flaming red hair of his father Radagon, and is fond of its heroic implications.

""I was born a champion's cub. Now I am the Lord of the Battlefield's lion.""",7.5,6.8,5.4,6.7,6.3,4.8,5.0,4.5,4.8,26,42,-,18,-,16,9,2000,Purple,Yes,470000,47,0000,13670,13670,2010,0,100,509110,-1,-1,-1,,0.932,0.933,0.946,0.937,0.952,0.95,0.955,0.952,"Helm of Radahn, God of War"
Lionel's Helm,,-,Head,"Round iron helm with a distinctive large brim.
Worn by Lionel the Lionhearted.

When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",9.1,6.3,5.9,7.0,7.2,4.8,5.3,4.6,4.8,27,42,-,18,-,22,12,500,White,Yes,640000,64,0000,13970,13970,1260,0,110,510010,-1,-1,-1,,0.937,0.93,0.941,0.928,0.952,0.947,0.954,0.952,Oddly shaped helm used by foreign knights
Bull-Goat Helm,,-,Head,"Great Horned Tragoth's helm, adorned with a gold bull-goat motif. Provides high poise.

Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid.",11.3,7.5,7.4,6.7,6.7,4.7,4.8,5.3,4.6,31,35,-,20,-,23,15,500,White,Yes,140000,14,0000,13130,13130,1180,0,110,510020,-1,-1,-1,,0.925,0.933,0.926,0.933,0.953,0.952,0.947,0.954,Great Horned Tragoth's helm
Omen Helm,,-,Head,"Malformed helm resembling an Omen with its horns cut off.

Worn by the Dung Eater, its form is a vision of the landscape of his mind, and of his appearance as he wished to see it.

The heart of an Omen without the body to match; could there be any crueler existence?
What does it matter, then, if the curse claims it all?",9.9,6.7,5.4,6.8,6.8,4.6,5.2,5.3,4.9,29,27,-,24,-,33,13,500,White,Yes,970000,97,0000,14630,14630,1490,0,110,510030,6097000,6097001,-1,,0.933,0.932,0.946,0.932,0.954,0.948,0.947,0.951,Mask of a curse gnawed Omen
Fire Prelate Helm,,-,Head,"Helm engraved with a sacred countenance and housing a cauldron.
Attire of the Fire Prelates, commanders of the Fire Monks.

It is said the cauldron perched atop the head was originally furnished with embers, and would surge into flames when the wearer's faith reached its zenith. The fire of this cauldron has since died out, however.",10.6,7.0,6.1,6.7,6.7,4.8,7.2,4.6,4.7,29,27,-,39,-,22,13,500,White,Yes,360000,36,0000,13520,13520,1830,0,110,510040,-1,-1,-1,,0.93,0.933,0.939,0.933,0.952,0.928,0.954,0.953,Fire Prelate helm sculpted in the image of a sage
Pumpkin Helm,,-,Head,"An oval helm large enough to cover any head.
Very heavy and very hard.

Reduces damage from headshots and impacts.

The inside of the helm is pitch black, keeping the crazed warrior within from panicking.
Perhaps its rather roomy interior also helps alleviate feelings of pressure and claustrophobia.",12.3,7.0,5.9,6.7,6.7,4.6,4.7,5.2,4.5,27,42,-,44,-,18,9,100,White,Yes,440000,44,0000,13620,13620,1950,0,110,510050,6044000,-1,-1,,0.93,0.933,0.941,0.933,0.954,0.953,0.948,0.955,Oval helmet large enough to cover any head
Ragged Hat,,-,Head,Helm pieced together from scavenged metal.,3.3,3.1,3.4,3.1,3.1,3.6,3.8,4.0,3.6,26,16,-,22,-,22,2,100,White,No,610000,61,0000,13900,13900,1230,0,255,999999,-1,-1,-1,,0.969,0.969,0.966,0.969,0.964,0.962,0.96,0.964,Helm pieced together from scavenged metal
Ragged Hat (Altered),,-,Head,Helm pieced together from scavenged metal.,3.0,2.8,3.1,2.8,2.8,3.4,3.6,3.8,3.4,21,13,-,18,-,18,2,100,White,No,611000,61,1000,13910,13910,1231,0,255,999999,-1,-1,-1,,0.972,0.972,0.969,0.972,0.966,0.964,0.962,0.966,Helm pieced together from scavenged metal
Brave's Cord Circlet,,-,Head,"Warrior's headband of woven leather.
Garb worn by warriors of the frigid uplands.

The small flags, white cloths and sheaves of wheat
often found hung from these headbands are
prayers of farewell from the people of their home.
In bidding farewell to warriors departing on
a journey from which they aren't like to return,
this small act offers only meager relief.",1.0,0.9,0.9,0.9,0.2,4.4,4.0,4.2,4.4,15,8,-,26,-,26,0,500,White,No,700000,70,0000,14070,14070,1320,0,255,999999,-1,-1,-1,,0.991,0.991,0.991,0.998,0.956,0.96,0.958,0.956,Headband of a warrior of the frigid uplands
Brave's Leather Helm,,-,Head,"Battlewear wrapped in thick leather.
Garb worn by warriors of the frigid uplands.",3.8,4.2,3.4,4.2,4.0,2.8,3.4,2.3,2.8,11,20,-,8,-,8,4,500,White,No,701000,70,1000,14090,14090,1325,0,255,999999,-1,-1,-1,,0.958,0.958,0.966,0.96,0.972,0.966,0.977,0.972,Helm of a warrior of the frigid uplands
Grass Hair Ornament,-,-,Head,"A headdress made from wildflowers.
Wearing this might make you less easy to spot.",1.4,1.4,1.4,1.4,0.9,4.5,4.2,4.4,4.5,16,9,-,27,-,27,0,100,White,No,920000,92,0000,14520,14520,1440,0,255,999999,-1,-1,-1,,0.986,0.986,0.986,0.991,0.955,0.958,0.956,0.955,Headdress made from wildflowers
Cloth Garb,,-,Body,"Clothing made of coarse material, commonly worn in the Lands Between.",3.2,5.3,4.2,2.7,4.2,12.8,12.4,11.9,12.4,42,23,-,60,-,60,1,10,White,Yes,160100,16,0100,13161,13161,1200,1,10,600000,-1,-1,-1,,0.947,0.973,0.958,0.958,0.872,0.876,0.881,0.876,Garb made of rough material
Traveler's Clothes,,-,Body,"Light yet sturdy clothes.

Worn by young women who set off into the world to confront their fate.",4.1,6.1,5.3,4.2,2.7,13.3,12.6,12.8,12.4,35,24,-,67,-,67,2,100,White,Yes,1020100,102,0100,14761,14761,2210,1,10,600010,-1,-1,-1,,0.939,0.958,0.947,0.973,0.867,0.874,0.872,0.876,Robe worn by Malenia
Commoner's Simple Garb,,-,Body,"Garb with a modest cloth cape attached.
Standard wear for commoners of the Lands Between.

The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",5.1,4.2,6.7,6.7,6.1,13.0,12.6,12.6,12.8,46,24,-,76,-,83,2,10,White,Yes,812000,81,2000,14281,14281,2145,1,10,600020,6081010,-1,-1,,0.958,0.933,0.933,0.939,0.87,0.874,0.874,0.872,Crown of a rune cursed citizen
Commoner's Simple Garb (Altered),,-,Body,"Modest garb made of cloth.
Standard wear for commoners of the Lands Between.

The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",4.1,3.2,6.1,6.1,5.3,12.8,12.4,12.4,12.6,38,21,-,61,-,64,0,10,White,Yes,812100,81,2100,14291,14291,2146,1,10,600030,6081010,-1,-1,,0.968,0.939,0.939,0.947,0.872,0.876,0.876,0.874,Garb of a rune cursed citizen
Commoner's Garb,,-,Body,"Garb with a thick embroidered cape attached.
Standard wear for commoners of the Lands Between.

The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",5.1,5.3,6.7,6.7,6.1,12.8,12.4,12.6,12.8,42,25,-,76,-,83,2,10,White,Yes,810100,81,0100,14261,14261,2140,1,10,600040,6081010,-1,-1,,0.947,0.933,0.933,0.939,0.872,0.876,0.874,0.872,Garb of a rune cursed citizen
Commoner's Garb (Altered),,-,Body,"Garb decorated with intricate embroidery.
Standard wear for commoners of the Lands Between.

The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",4.1,4.2,6.1,6.1,5.3,12.6,11.9,12.4,12.6,34,21,-,61,-,64,0,10,White,Yes,811100,81,1100,14271,14271,2141,1,10,600050,6081010,-1,-1,,0.958,0.939,0.939,0.947,0.874,0.881,0.876,0.874,Garb of a rune cursed citizen
Aristocrat Garb,,-,Body,"High quality garb adorned with fine golden embroidery.
Travel attire worn by nobles in the capital. Terribly faded and tattered.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",4.9,7.8,8.6,7.8,7.8,6.5,6.9,7.8,6.5,47,33,-,36,-,30,2,10,Purple,Yes,370100,37,0100,13541,13541,1860,1,10,600060,-1,-1,-1,,0.922,0.922,0.914,0.922,0.935,0.931,0.922,0.935,Aristocrat garb featuring fine gold embroidery
Aristocrat Garb (Altered),,-,Body,"High quality garb adorned with fine golden embroidery.
Travel attire worn by nobles in the capital. Terribly faded and tattered.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",4.1,7.1,8.0,7.1,7.1,6.1,6.7,7.1,6.1,42,29,-,32,-,25,1,10,White,Yes,371100,37,1100,13551,13551,1861,1,10,600070,-1,-1,-1,,0.929,0.929,0.92,0.929,0.939,0.933,0.929,0.939,"Aristocrat garb, adorned with golden embroidery"
Aristocrat Coat,,-,Body,"Tanned leather coat adorned with fine gold embroidery.
Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",7.1,8.8,8.8,8.0,8.8,10.9,11.4,10.9,8.8,50,32,-,42,-,46,3,10,White,Yes,380100,38,0100,13561,13561,1870,1,10,600080,-1,-1,-1,,0.912,0.92,0.912,0.912,0.891,0.886,0.891,0.912,Aristocrat coat featuring fine gold embroidery
Old Aristocrat Gown,,-,Body,"Gown of soft cloth adorned with fine gold embroidery.
Travel attire worn by nobles in the capital. Garb favored by the aged.

Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",5.1,7.1,7.1,6.7,7.1,9.5,10.2,9.5,7.1,42,25,-,35,-,38,2,10,White,Yes,390100,39,0100,13571,13571,1880,1,10,600090,-1,-1,-1,,0.929,0.933,0.929,0.929,0.905,0.898,0.905,0.929,Aristocrat gown featuring fine gold embroidery
Page Garb,,-,Body,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way.

Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",5.1,6.7,6.1,5.3,5.3,12.8,12.6,13.0,13.0,42,23,-,83,-,83,2,200,White,Yes,220100,22,0100,13261,13261,1680,1,10,600100,-1,-1,-1,,0.933,0.947,0.939,0.947,0.872,0.874,0.87,0.87,Garb worn by pages
Page Garb (Altered),,-,Body,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way.

Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",4.5,6.3,5.5,4.4,4.4,12.8,12.6,13.0,13.0,34,19,-,64,-,64,1,200,White,Yes,221100,22,1100,13271,13271,1681,1,10,600110,-1,-1,-1,,0.937,0.956,0.945,0.956,0.872,0.874,0.87,0.87,Tunic worn by pages
High Page Clothes,,-,Body,"Clothes of a page selected for special privileges by the noble they serve.

Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",5.3,5.5,6.9,5.5,5.5,13.5,12.8,13.0,13.2,42,23,-,76,-,76,2,200,White,Yes,1990100,199,0100,15391,15391,1685,1,10,600120,-1,-1,-1,,0.945,0.945,0.931,0.945,0.865,0.872,0.87,0.868,Garb of a Page loyal to a certain noble family
High Page Clothes (Altered),,-,Body,"Clothes of a page selected for special privileges by the noble they serve.

Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",4.3,4.4,6.3,4.4,4.4,13.2,12.6,12.8,13.0,34,19,-,61,-,61,1,200,White,Yes,1991100,199,1100,15401,15401,1686,1,10,600130,-1,-1,-1,,0.956,0.956,0.937,0.956,0.868,0.874,0.872,0.87,Vest of a Page loyal to a certain noble family
Guardian Garb,,-,Body,"Engraved golden garb.
Worn by the guardians of the Minor Erdtrees.

In accordance with an ancient pact with the Erdtree, it is said that their deaths led not to destruction, but instead to renewed, eternal life as guardians.",7.7,9.5,9.5,8.8,8.0,10.9,10.2,10.9,10.9,61,38,-,50,-,42,4,100,White,Yes,331100,33,1100,13471,13471,1801,1,10,600140,-1,-1,-1,,0.905,0.912,0.905,0.92,0.891,0.898,0.891,0.891,Vest worn by the people of rotted abundance
Guardian Garb (Full Bloom),,-,Body,"Engraved golden garb.
Worn by the guardians of the Minor Erdtrees.

Raises the HP recovery effects of the Flask of Crimson Tears, but greatly lowers fire damage negation.

It is said that the blood-red flowers blooming on their backs mark the senescence of their ancient pact. Perhaps the guardians are part tree already.",8.8,10.2,10.2,9.5,9.5,11.9,-2.3,11.9,11.4,71,46,-,57,-,55,5,100,White,Yes,330100,33,0100,13461,13461,1800,1,10,600150,6033010,-1,-1,,0.898,0.905,0.898,0.905,0.881,1.023,0.881,0.886,Armor worn by the people of rotted abundance
Festive Garb,,-,Body,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills.

Faintly bloodstained.",4.1,4.2,5.3,6.1,5.3,12.6,11.9,12.4,13.0,42,21,-,67,-,67,1,100,White,Yes,800100,80,0100,14231,14231,2130,1,10,600160,-1,-1,-1,,0.958,0.939,0.947,0.947,0.874,0.881,0.876,0.87,Cloak worn for a humble festival
Festive Garb (Altered),,-,Body,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills.

Faintly bloodstained.",3.2,2.7,4.2,5.3,4.2,12.4,11.4,11.9,12.8,34,16,-,57,-,57,0,100,White,Yes,801100,80,1100,14241,14241,2131,1,10,600170,-1,-1,-1,,0.973,0.947,0.958,0.958,0.876,0.886,0.881,0.872,Ceremonial garb worn for a humble festival
Blue Festive Garb,,-,Body,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills.

Use of this garb, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",4.1,4.2,4.2,6.1,5.3,12.6,11.4,12.6,13.8,46,21,-,71,-,63,1,100,White,Yes,802100,80,2100,14251,14251,2135,1,10,600180,-1,-1,-1,,0.958,0.939,0.958,0.947,0.874,0.886,0.874,0.862,Cloak worn for a humble festival
Prisoner Clothing,,-,Body,"Tattered clothing.
Worn by a prisoner convicted of an appalling crime.

Never once washed, every fiber is filthy.",3.2,4.2,5.3,5.3,4.2,11.9,11.4,11.4,12.6,42,23,-,63,-,63,1,100,White,Yes,890100,89,0100,14441,14441,1410,1,10,600190,-1,-1,-1,,0.958,0.947,0.947,0.958,0.881,0.886,0.886,0.874,Tattered clothing
Mushroom Body,,-,Body,"Mushrooms found growing all over the body.
These overgrown mushrooms have colonized the torso.

To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",5.1,6.1,7.1,2.7,5.3,13.3,5.3,12.8,13.0,102,24,-,90,-,76,1,100,White,Yes,1130100,113,0100,14941,14941,2310,1,10,600200,-1,-1,-1,,0.939,0.973,0.929,0.947,0.867,0.947,0.872,0.87,Armor with slime mold growing on it
Astrologer Robe,,-,Body,"Robe fashioned from supple cloth.
Worn by those who look to the cosmos above.

They read fate in the stars, and are said to be heirs of the glintstone sorcerers.

But alas, the night sky no longer cradles fate.",6.3,6.7,6.1,6.1,6.1,13.5,13.0,13.3,13.0,50,24,-,90,-,76,5,100,White,Yes,630100,63,0100,13951,13951,1250,1,20,601000,-1,-1,-1,,0.933,0.939,0.939,0.939,0.865,0.87,0.867,0.87,Robe of the glintstone polishers
Astrologer Robe (Altered),,-,Body,"Robe fashioned from supple cloth.
Worn by those who look to the cosmos above.

They read fate in the stars, and are said to be heirs of the glintstone sorcerers.

But alas, the night sky no longer cradles fate.",5.3,6.1,5.3,5.3,5.3,13.3,12.8,13.0,12.8,42,21,-,75,-,64,2,100,White,Yes,631100,63,1100,13961,13961,1251,1,20,601010,-1,-1,-1,,0.939,0.947,0.947,0.947,0.867,0.872,0.87,0.872,Robe of the glintstone polishers
Juvenile Scholar Robe,,-,Body,"Robe worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy.

Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it.

Rebirth is as sleep to them, and with each awakening, memory fades into oblivion.",4.1,5.3,6.1,6.1,5.3,12.8,11.9,12.4,12.6,38,25,-,63,-,71,1,500,Purple,Yes,1030100,103,0100,14771,14771,2220,1,20,601020,-1,-1,-1,,0.947,0.939,0.939,0.947,0.872,0.881,0.876,0.874,Robe worn by students of the Raya Lucaria Academy
Raya Lucarian Robe,,-,Body,"Robe worn by Raya Lucaria's scholars of sorcery.

Those who dedicate themselves to the study of glintstones formed from starry amber receive this modest yet elegant deep navy garb after making their vows of virtue and austerity.

But with extended life, one is apt to forget old vows.",4.1,5.3,6.1,6.1,2.7,13.5,12.6,12.4,12.8,42,18,-,67,-,63,1,100,Purple,Yes,830100,83,0100,14311,14311,2160,1,20,601030,-1,-1,-1,,0.947,0.939,0.939,0.973,0.865,0.874,0.876,0.872,Robe worn by Raya Lucaria's magic scholars
Lazuli Robe,,-,Body,"Robe worn by scholars of the Lazuli Conspectus, singular among the greater Raya Lucaria Academy.

These scholars, who sought to master Carian sorcery, instead learned to see the moon as equal to the stars.
This robe, in the hue of the full moon, signifies their heresy.",4.1,6.1,5.3,4.2,2.7,13.8,11.9,12.4,12.8,42,21,-,67,-,67,2,100,Purple,Yes,2030000,203,0000,15451,15451,2640,1,20,601040,-1,-1,-1,,0.939,0.958,0.947,0.973,0.862,0.881,0.876,0.872,"Sorcerer's robe, dyed in a beautiful cerulean hue"
Battlemage Robe,,-,Body,"Robe worn by scholars of the Raya Lucaria Academy scholar, tattered from being worn on the battlefield.

Whenever war broke out and the academy sealed its gates, only Haima's scholars dared venture outside.
Seclusion is no way to foster discovery; it is only a convenient form of escape.",4.1,5.3,6.1,4.2,5.3,13.0,11.9,12.4,12.6,42,23,-,63,-,71,2,500,Purple,Yes,1000100,100,0100,14681,14681,1520,1,20,601050,-1,-1,-1,,0.947,0.958,0.939,0.947,0.87,0.881,0.876,0.874,Robe of an unaffiliated glintstone sorcerer
Errant Sorcerer Robe,,-,Body,"Commonplace robe made of thick cloth.
Worn by the Errant Sorcerer Wilhelm, one of the first Tarnished to visit Roundtable Hold.

A silent seeker of sorcery, who had gone so far as to make contact with the primeval current, Wilhelm was led by guidance into confrontation with his friend Vargram, and it is said that he was then taken prisoner in Roundtable Hold.",4.1,4.2,4.2,6.1,4.2,13.0,12.6,12.4,13.0,35,23,-,67,-,71,2,500,Purple,Yes,990100,99,0100,14661,14661,1510,1,20,601060,-1,-1,-1,,0.958,0.939,0.958,0.958,0.87,0.874,0.876,0.87,Cape worn by a great sorcerer turned hermit
Errant Sorcerer Robe (Altered),,-,Body,"Commonplace robe made of thick cloth.
Worn by the Errant Sorcerer Wilhelm, one of the first Tarnished to visit Roundtable Hold.

A silent seeker of sorcery, who had gone so far as to make contact with the primeval current, Wilhelm was led by guidance into confrontation with his friend Vargram, and it is said that he was then taken prisoner in Roundtable Hold.",3.2,2.7,2.7,5.3,2.7,12.8,12.4,11.9,12.8,31,20,-,62,-,66,1,500,Purple,Yes,991100,99,1100,14671,14671,1511,1,20,601070,-1,-1,-1,,0.973,0.947,0.973,0.973,0.872,0.876,0.881,0.872,Tunic worn by a great sorcerer turned hermit
Spellblade's Traveling Attire,,-,Body,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills.

Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",3.3,4.1,2.6,4.1,4.1,12.7,11.3,11.8,12.7,35,17,-,59,-,63,1,200,Purple,Yes,130100,13,0100,13111,13111,1170,1,20,601080,6013010,-1,-1,,0.959,0.959,0.974,0.959,0.873,0.887,0.882,0.873,Glintstone sorcerer Rogier's cape
Spellblade's Traveling Attire (Altered),,-,Body,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills.

Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",2.5,2.6,0.5,2.6,2.6,12.6,10.9,11.4,12.6,32,10,-,54,-,57,0,200,Purple,Yes,131100,13,1100,13121,13121,1171,1,20,601090,6013110,-1,-1,,0.974,0.974,0.995,0.974,0.874,0.891,0.886,0.874,Glintstone sorcerer Rogier's vest
Alberich's Robe,,-,Body,"Mad Tongue Alberich's robe.

Set with red glintstones, said to be formed by the blood of sacrifices. Strengthens thorn sorcery.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",4.1,5.3,4.2,5.3,5.3,12.8,11.9,12.4,12.8,38,23,-,67,-,71,1,200,White,Yes,120100,12,0100,13091,13091,1160,1,20,601100,6012010,-1,-1,,0.947,0.947,0.958,0.947,0.872,0.881,0.876,0.872,Robe of a defected glintstone sorcerer
Alberich's Robe (Altered),,-,Body,"Mad Tongue Alberich's robe.

Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",3.2,4.2,2.7,4.2,4.2,12.6,11.4,11.9,12.6,32,19,-,57,-,61,0,200,White,Yes,121100,12,1100,13101,13101,1161,1,20,601110,-1,-1,-1,,0.958,0.958,0.973,0.958,0.874,0.886,0.881,0.874,Tunic of a defected glintstone sorcerer
Preceptor's Long Gown,,-,Body,"A long, bright blue gown with the movements of the stars drawn upon it.
Worn by the magic preceptors who served the Carian royals.

Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain aware of. Even if their fate has been long severed from the stars.",6.3,6.1,6.7,6.1,6.1,14.5,13.3,12.8,12.8,50,24,-,83,-,76,3,200,White,Yes,910100,91,0100,14501,14501,1430,1,20,601120,-1,-1,-1,,0.939,0.939,0.933,0.939,0.855,0.867,0.872,0.872,Gown worn by ruthless Chaplains
Preceptor's Long Gown (Altered),,-,Body,"Modest garb, previously worn under a long, bright blue gown with the movements of the stars drawn upon it.",3.2,4.2,4.2,2.7,4.2,12.8,12.4,11.9,12.4,38,16,-,57,-,57,0,200,White,Yes,911100,91,1100,14511,14511,1431,1,20,601130,-1,-1,-1,,0.958,0.973,0.958,0.958,0.872,0.876,0.881,0.876,Vest worn by ruthless Chaplains
Azur's Glintstone Robe,,-,Body,"A robe reserved for grand masters at the Academy of Raya Lucaria.
Corroded by blue-green glintstones.

Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",7.1,7.1,6.1,6.7,6.7,15.4,12.8,13.0,13.8,50,28,-,99,-,83,3,1000,White,Yes,581100,58,1100,13851,13851,2125,1,20,601140,-1,-1,-1,,0.929,0.933,0.939,0.933,0.846,0.872,0.87,0.862,Blue transparent robe of a Crystal Sorcerer
Lusat's Robe,,-,Body,"A robe reserved for grand masters at the Academy of Raya Lucaria.
Corroded by blue glintstones.

Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",7.1,8.0,6.1,8.0,6.1,15.4,12.8,13.3,13.5,50,25,-,83,-,99,3,1000,Purple,Yes,580100,58,0100,13841,13841,2120,1,20,601150,-1,-1,-1,,0.92,0.92,0.939,0.939,0.846,0.872,0.867,0.865,Dull red robe of a Crystal Sorcerer
Queen's Robe,,-,Body,"Robe indicating the highest order of sorcerer.
Worn by Rennala, Queen of the Full Moon.

When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him.

And then, those at the academy realized. That Rennala was no champion, after all.",5.1,6.1,5.3,5.3,4.2,13.8,12.6,12.8,13.3,42,25,-,71,-,83,2,2000,Purple,Yes,510100,51,0100,13711,13711,2050,1,20,601160,-1,-1,-1,,0.939,0.947,0.947,0.958,0.862,0.874,0.872,0.867,"Robe of Rennala, the Full Moon Witch"
Snow Witch Robe,,-,Body,"Witch's robe in the color of snow.

Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries.
It is said that the doll that houses Ranni's soul was modeled after her.

That old witch was Ranni's secret mentor.",5.5,5.7,6.5,6.5,4.6,13.4,13.4,13.2,13.4,38,32,-,71,-,71,2,1000,Purple,Yes,1010100,101,0100,14741,14741,2200,1,20,601170,-1,-1,-1,,0.943,0.935,0.935,0.954,0.866,0.866,0.868,0.866,Robe worn by Enchantress Ranni
Snow Witch Robe (Altered),,-,Body,"Witch's robe in the color of snow.

Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries.
It is said that the doll that houses Ranni's soul was modeled after her.

That old witch was Ranni's secret mentor.",4.6,4.6,5.7,5.7,3.1,13.2,13.2,13.0,13.2,32,25,-,57,-,57,0,1000,Purple,Yes,1011100,101,1100,14751,14751,2201,1,20,601180,-1,-1,-1,,0.954,0.943,0.943,0.969,0.868,0.868,0.87,0.868,Dress worn by Enchantress Ranni
Fia's Robe,,-,Body,"Robe of black cloth that covers the entire body.
Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home.

The fabric itself is soft as silk and thin enough that those embraced can feel every pulse; every bit of her warmth.",5.1,5.3,6.1,5.3,5.3,12.6,12.4,12.6,13.0,46,21,-,76,-,108,2,500,Purple,Yes,1940100,194,0100,15341,15341,1595,1,20,601190,-1,-1,-1,,0.947,0.947,0.939,0.947,0.874,0.876,0.874,0.87,"Robe worn by Phia, the Deathbed Companion"
