Name,Icon (Male),Icon (Female),Equip Slot,Info,Caption,Weight,Damage Negation (Physical),Damage Negation (VS Strike),Damage Negation (VS Slash),Damage Negation (VS Pierce),Damage Negation (Magic),Damage Negation (Fire),Damage Negation (Lightning),Damage Negation (Holy),Immunity (Poison and Rot),Robustness (Blood),Frost,Focus (Madness),Sleep,Vitality (Death Blight),Poise,Sell Price,Drop Type,Obtainable,ID,Armor Set ID,Armor ID,Icon ID (Male),Icon ID (Female),Armor Category,Sort Group ID,Sort ID,Resident SpEffect ID [1],Resident SpEffect ID [2],Resident SpEffect ID [3],Passive Effect
Leyndell Knight Helm,,-,Head,Helm used by Elite Capital Knights,Helm worn by knights sworn to defend the royal capital of Leyndell. The golden canopy represents the honor of standing among the tree's defenders.,5.1,4.8,4.4,4.8,4.8,3.6,4.0,3.6,3.8,15,24,-,10,-,10,6,200,Purple,Yes,1790000,179,0000,15130,15130,0,80,507080,-1,-1,-1,
Haligtree Knight Helm,,-,Head,Helm used by Elite Knights of Miquella,Helm worn by knights sworn to the Haligtree. Graced by a crown of unalloyed gold. Increases faith.,5.1,4.8,4.4,4.8,4.8,3.6,4.0,3.4,4.0,15,24,-,10,-,11,5,200,Purple,Yes,1820000,182,0000,15190,15190,0,80,507090,6182000,-1,-1,
Bloodhound Knight Helm,,-,Head,Beast-like helm of the Bloodhound Knights,"Metal helm with a pointed beak. Worn by the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",4.6,4.4,4.0,5.0,4.8,3.4,3.6,2.5,3.6,14,22,-,10,-,10,4,1000,White,Yes,790000,79,0000,14210,14210,0,80,507100,-1,-1,-1,
Cleanrot Helm,,-,Head,Helm of a Wing Knight. Somewhat decayed...,"Winged helm of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles the fiercest of all.",6.4,5.2,4.8,5.8,6.3,4.5,4.6,4.0,4.8,27,29,-,12,-,14,7,200,White,Yes,340000,34,0000,13480,13480,0,80,507110,-1,-1,-1,
Cleanrot Helm (Altered),,-,Head,Light helm of a Wing Knight. Somewhat decayed…,"Winged helm of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles the fiercest of all.",5.5,4.6,4.2,5.0,5.5,4.0,4.2,3.4,4.6,21,21,-,9,-,10,4,200,White,Yes,341000,34,1000,13490,13490,0,80,507120,-1,-1,-1,
Raging Wolf Helm,,-,Head,Helm of Vargram the Bloody Wolf,"Helm worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. Vargram's nickname comes from the white wolf's mane that decorates this helm.",4.4,4.7,4.1,4.7,4.5,3.5,3.9,2.4,3.3,14,23,-,8,-,8,5,200,White,Yes,860000,86,0000,14370,14370,0,90,508000,-1,-1,-1,
Hoslow's Helm,,-,Head,Heavy helm passed down through the Hoslow family,"A twin-tailed silver helm decorated with flowery adornments. Symbol of the head of the revered House of Hoslow. Juno Hoslow had a younger brother who was all talk and no trousers. His inability to commit to action was such that Juno inherited the Hoslow legacy without resistance, granting him the freedom to shower his little brother with adoration.",5.5,5.2,4.4,5.0,4.8,4.0,4.4,3.8,3.8,18,27,-,11,-,11,6,3000,Purple,Yes,650000,65,0000,13990,13990,0,90,508010,-1,-1,-1,
Diallos's Mask,,-,Head,Helm passed down through the Hoslow family,"Replica of a twin-tailed silver helm with flowery adornments. Only, without the twin tails. Diallos Hoslow had an older brother who was a stern, self-possessed man of few words. His achievements made him seem out of reach. And so the younger aspired to be like the older. Yearning for the day that he would tell the tale of House Hoslow, in blood. Knowing full well that it would break his brother's heart.",4.6,4.8,3.8,4.6,4.4,3.6,3.6,2.5,3.4,15,23,-,10,-,10,5,3000,White,Yes,651000,65,1000,14000,14000,0,90,508020,-1,-1,-1,
Twinned Helm,,-,Head,"Helm worn by D, Knight of the Golden Order","Helm depicting entwined twins of gold and silver. The two known as D are inseparable twins. They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another. Perhaps this armor longs to find its way to the other D.",5.1,4.8,4.4,5.2,4.2,4.0,4.0,3.1,3.6,14,23,-,9,-,23,5,1000,White,Yes,600000,60,0000,13880,13880,0,90,508030,-1,-1,-1,
Drake Knight Helm,,-,Head,Malformed helm fused with dragon flesh,"Black iron helm worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe.",4.0,4.0,3.4,4.2,4.0,3.6,4.0,3.1,3.6,11,20,-,9,-,9,4,500,White,Yes,60000,6,0000,13020,13020,0,90,508040,-1,-1,-1,
Drake Knight Helm (Altered),,-,Head,Malformed light helm fused with dragon flesh,"Black iron helm worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion. From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe.",3.6,3.6,2.9,3.8,3.6,3.2,3.6,2.6,3.2,9,16,-,7,-,7,3,500,Purple,Yes,61000,6,1000,13030,13030,0,90,508050,-1,-1,-1,
Briar Helm,,-,Head,Helm worn by Condor Knights,"Battered iron helm from a foreign land. Worn by Elemer of the Briar. The winding, rusted iron briars are a mark of the guilty, and typically indicate a sentence of death. Elemer murdered numerous instructors and merchants, and was known as the Bell Bearing Hunter.",5.1,4.6,4.0,4.8,4.4,3.8,4.4,3.1,3.8,15,31,-,10,-,10,5,500,Purple,Yes,210000,21,0000,13240,13240,0,90,508060,6021000,-1,-1,
Fingerprint Helm,,-,Head,Deformed helm of a mad knight in despair,"Iron helm singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?",4.6,4.8,4.2,4.2,4.2,3.4,4.5,2.3,3.4,14,26,-,5,-,10,6,500,Purple,Yes,950000,95,0000,14570,14570,0,90,508070,-1,-1,-1,
Royal Remains Helm,,-,Head,Mask that mediates via body of famed ancestor,"Helm graced with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing. Slowly replenishes HP when HP is reduced. It is said that the bones belong to an ancient lord―the soulless king. The lord of the lost and desperate, who was known as Ensha.",4.6,4.2,4.0,4.6,4.2,3.4,3.6,2.8,3.1,15,24,-,10,-,5,5,500,Purple,Yes,690000,69,0000,14060,14060,0,90,508080,6069000,-1,-1,
All-Knowing Helm,,-,Head,"Helm of Gideon Ofnir, the All-Knowing","Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",4.6,4.6,4.2,4.8,4.2,4.4,3.4,3.6,3.1,12,20,-,9,-,9,5,1000,Purple,Yes,590000,59,0000,13860,13860,0,90,508090,-1,-1,-1,
Royal Knight Helm,,-,Head,Helm of an Arbor Sentinel,"Silver helm of Loretta, a knight who served Miquella's Haligtree. Loretta, once a royal Carian knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation.",6.6,5.8,5.2,6.3,6.1,5.0,4.7,4.4,4.6,22,29,-,15,-,15,8,1000,Purple,Yes,280000,28,0000,13370,13370,0,90,508100,-1,-1,-1,
Maliketh's Helm,,-,Head,Helm of Maliketh the Black Blade,"Beast's helm made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions.",5.5,4.8,4.2,5.0,4.8,3.8,4.0,3.4,4.6,15,24,-,10,-,22,6,2000,White,Yes,760000,76,0000,14150,14150,0,90,508110,-1,-1,-1,
Banished Knight Helm,,-,Head,Knight's helm covered in a long cloth of deep red,"Thick, full set of armor covering the entire body. This helm was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. Perhaps the deep-red scarf was used to block the winds, for on the outskirts, the winds bite with a stinging fierceness.",7.5,6.8,5.4,7.0,6.3,4.8,4.8,4.6,4.7,26,35,-,16,-,18,9,100,White,Yes,200000,20,0000,13220,13220,0,100,509000,-1,-1,-1,
Banished Knight Helm (Altered),,-,Head,Helm of a Stormveil Knight,"Thick, full set of armor covering the entire body. This helm was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",7.1,6.7,5.2,6.8,6.1,4.7,4.7,4.6,4.6,21,30,-,13,-,14,8,100,White,Yes,201000,20,1000,13230,13230,0,100,509010,-1,-1,-1,
Night's Cavalry Helm,,-,Head,Helm covered in blackened bloodstains,"Pitch-black helm with flowing black hair. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",5.5,5.0,4.6,5.0,4.8,3.8,4.5,3.8,4.5,16,24,-,10,-,10,7,500,White,Yes,230000,23,0000,13280,13280,0,100,509020,-1,-1,-1,
Night's Cavalry Helm (Altered),,-,Head,Light helm covered in blackened bloodstains,"Pitch-black helm thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",5.1,4.8,4.4,4.8,4.4,3.6,4.4,3.6,4.4,13,21,-,9,-,9,5,500,White,Yes,231000,23,1000,13290,13290,0,100,509030,-1,-1,-1,
Veteran's Helm,,-,Head,Veteran General's old helm,"An old helm that has seen many battles. Worn by Niall, the veteran general of Sol. Niall was a lone survivor who commanded spirits to defend his long-passed master. This aging general could not die, nor did he have anywhere to fade away.",8.1,6.8,6.1,6.8,6.3,4.8,5.0,4.6,4.7,27,39,-,20,-,20,12,1000,White,Yes,780000,78,0000,14190,14190,0,100,509040,-1,-1,-1,
Scaled Helm,,-,Head,Helm made from layered ancient dragon scales,"Helm worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it highly effective against non-physical attacks. Istvan is one of a few wizened Tarnished who survive to this day.",6.8,5.8,5.0,6.1,5.8,4.8,5.0,4.6,4.8,24,35,-,16,-,16,9,500,White,Yes,80000,8,0000,13040,13040,0,100,509050,-1,-1,-1,
Beast Champion Helm,,-,Head,Helm of Belnahr the Traitor,"Silver helm engraved with tiny beasts. Worn by Bernahl the Recusant. The beasts, their eyes and ears covered, represent an oath: ""See nothing, hear nothing, doubt nothing, and carry on, along the path set in stone.""",7.5,6.3,5.9,6.8,6.7,4.6,4.9,4.6,4.8,24,39,-,18,-,16,9,200,White,Yes,720000,72,0000,14100,14100,0,100,509060,-1,-1,-1,
Tree Sentinel Helm,,-,Head,Helm of a Tree Sentinel,Golden helm of the heavy cavalry Tree Sentinels who serve the Erdtree. Very few are permitted to wear a golden wood crest of such size as seen on this helm.,8.1,6.8,5.4,6.8,6.3,4.6,6.2,4.5,5.0,29,39,-,18,-,20,9,1000,Purple,Yes,270000,27,0000,13350,13350,0,100,509070,-1,-1,-1,
Malformed Dragon Helm,,-,Head,"Malformed, golden helm used by Gnarrl","A malformed golden helm. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves.",6.8,6.1,5.4,6.3,6.1,4.6,4.6,4.9,4.6,24,33,-,16,-,16,8,1000,Purple,Yes,260000,26,0000,13340,13340,0,100,509080,-1,-1,-1,
Crucible Axe Helm,,-,Head,Helm used by Ordovis of the Crucible and his men,"Helm of the Crucible Knights who served Godfrey, the first Elden Lord. The axe ornamentation is the knight Ordovis's mark, displayed also by his men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",6.6,6.3,5.0,6.1,6.1,4.6,4.6,4.0,4.8,22,31,-,15,-,15,9,1000,White,Yes,570000,57,0000,13800,13800,0,100,509090,6057000,-1,-1,
Crucible Tree Helm,,-,Head,Helm used by Siluria of the Crucible and her men,"Helm of the Crucible Knights who served Godfrey, the first Elden Lord. The great tree ornamentation is the knight Siluria's mark, displayed also by her men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations.",6.6,6.5,5.0,6.3,5.6,4.6,4.2,4.0,5.2,22,31,-,15,-,15,9,1000,White,Yes,571000,57,1000,13810,13810,0,100,509100,6057100,-1,-1,
Radahn's Redmane Helm,,-,Head,"Helm of Radahn, God of War","Helm of the golden lion, with flowing red hair. Worn by General Radahn. Radahn inherited the furious, flaming red hair of his father Radagon, and is fond of its heroic implications. ""I was born a champion's cub. Now I am the Lord of the Battlefield's lion.""",7.5,6.8,5.4,6.7,6.3,4.8,5.0,4.5,4.8,26,42,-,18,-,16,9,2000,Purple,Yes,470000,47,0000,13670,13670,0,100,509110,-1,-1,-1,
Lionel's Helm,,-,Head,Oddly shaped helm used by foreign knights,"Round iron helm with a distinctive large brim. Worn by Lionel the Lionhearted. When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",9.1,6.3,5.9,7.0,7.2,4.8,5.3,4.6,4.8,27,42,-,18,-,22,12,500,White,Yes,640000,64,0000,13970,13970,0,110,510010,-1,-1,-1,
Bull-Goat Helm,,-,Head,Great Horned Tragoth's helm,"Great Horned Tragoth's helm, adorned with a gold bull-goat motif. Provides high poise. Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid.",11.3,7.5,7.4,6.7,6.7,4.7,4.8,5.3,4.6,31,35,-,20,-,23,15,500,White,Yes,140000,14,0000,13130,13130,0,110,510020,-1,-1,-1,
Omen Helm,,-,Head,Mask of a curse gnawed Omen,"Malformed helm resembling an Omen with its horns cut off. Worn by the Dung Eater, its form is a vision of the landscape of his mind, and of his appearance as he wished to see it. The heart of an Omen without the body to match; could there be any crueler existence? What does it matter, then, if the curse claims it all?",9.9,6.7,5.4,6.8,6.8,4.6,5.2,5.3,4.9,29,27,-,24,-,33,13,500,White,Yes,970000,97,0000,14630,14630,0,110,510030,6097000,6097001,-1,
Fire Prelate Helm,,-,Head,Fire Prelate helm sculpted in the image of a sage,"Helm engraved with a sacred countenance and housing a cauldron. Attire of the Fire Prelates, commanders of the Fire Monks. It is said the cauldron perched atop the head was originally furnished with embers, and would surge into flames when the wearer's faith reached its zenith. The fire of this cauldron has since died out, however.",10.6,7.0,6.1,6.7,6.7,4.8,7.2,4.6,4.7,29,27,-,39,-,22,13,500,White,Yes,360000,36,0000,13520,13520,0,110,510040,-1,-1,-1,
Pumpkin Helm,,-,Head,Oval helmet large enough to cover any head,"An oval helm large enough to cover any head. Very heavy and very hard. Reduces damage from headshots and impacts. The inside of the helm is pitch black, keeping the crazed warrior within from panicking. Perhaps its rather roomy interior also helps alleviate feelings of pressure and claustrophobia.",12.3,7.0,5.9,6.7,6.7,4.6,4.7,5.2,4.5,27,42,-,44,-,18,9,100,White,Yes,440000,44,0000,13620,13620,0,110,510050,6044000,-1,-1,
Ragged Hat,,-,Head,Helm pieced together from scavenged metal,Helm pieced together from scavenged metal.,3.3,3.1,3.4,3.1,3.1,3.6,3.8,4.0,3.6,26,16,-,22,-,22,2,100,White,No,610000,61,0000,13900,13900,0,255,999999,-1,-1,-1,
Ragged Hat (Altered),,-,Head,Helm pieced together from scavenged metal,Helm pieced together from scavenged metal.,3.0,2.8,3.1,2.8,2.8,3.4,3.6,3.8,3.4,21,13,-,18,-,18,2,100,White,No,611000,61,1000,13910,13910,0,255,999999,-1,-1,-1,
Brave's Cord Circlet,,-,Head,Headband of a warrior of the frigid uplands,"Warrior's headband of woven leather. Garb worn by warriors of the frigid uplands. The small flags, white cloths and sheaves of wheat often found hung from these headbands are prayers of farewell from the people of their home. In bidding farewell to warriors departing on a journey from which they aren't like to return, this small act offers only meager relief.",1.0,0.9,0.9,0.9,0.2,4.4,4.0,4.2,4.4,15,8,-,26,-,26,0,500,White,No,700000,70,0000,14070,14070,0,255,999999,-1,-1,-1,
Brave's Leather Helm,,-,Head,Helm of a warrior of the frigid uplands,Battlewear wrapped in thick leather. Garb worn by warriors of the frigid uplands.,3.8,4.2,3.4,4.2,4.0,2.8,3.4,2.3,2.8,11,20,-,8,-,8,4,500,White,No,701000,70,1000,14090,14090,0,255,999999,-1,-1,-1,
Grass Hair Ornament,-,-,Head,Headdress made from wildflowers,A headdress made from wildflowers. Wearing this might make you less easy to spot.,1.4,1.4,1.4,1.4,0.9,4.5,4.2,4.4,4.5,16,9,-,27,-,27,0,100,White,No,920000,92,0000,14520,14520,0,255,999999,-1,-1,-1,
Cloth Garb,,-,Body,Garb made of rough material,"Clothing made of coarse material, commonly worn in the Lands Between.",3.2,5.3,4.2,2.7,4.2,12.8,12.4,11.9,12.4,42,23,-,60,-,60,1,10,White,Yes,160100,16,0100,13161,13161,1,10,600000,-1,-1,-1,
Traveler's Clothes,,-,Body,Robe worn by Malenia,Light yet sturdy clothes. Worn by young women who set off into the world to confront their fate.,4.1,6.1,5.3,4.2,2.7,13.3,12.6,12.8,12.4,35,24,-,67,-,67,2,100,White,Yes,1020100,102,0100,14761,14761,1,10,600010,-1,-1,-1,
Commoner's Simple Garb,,-,Body,Crown of a rune cursed citizen,"Garb with a modest cloth cape attached. Standard wear for commoners of the Lands Between. The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",5.1,4.2,6.7,6.7,6.1,13.0,12.6,12.6,12.8,46,24,-,76,-,83,2,10,White,Yes,812000,81,2000,14281,14281,1,10,600020,6081010,-1,-1,
Commoner's Simple Garb (Altered),,-,Body,Garb of a rune cursed citizen,"Modest garb made of cloth. Standard wear for commoners of the Lands Between. The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",4.1,3.2,6.1,6.1,5.3,12.8,12.4,12.4,12.6,38,21,-,61,-,64,0,10,White,Yes,812100,81,2100,14291,14291,1,10,600030,6081010,-1,-1,
Commoner's Garb,,-,Body,Garb of a rune cursed citizen,"Garb with a thick embroidered cape attached. Standard wear for commoners of the Lands Between. The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",5.1,5.3,6.7,6.7,6.1,12.8,12.4,12.6,12.8,42,25,-,76,-,83,2,10,White,Yes,810100,81,0100,14261,14261,1,10,600040,6081010,-1,-1,
Commoner's Garb (Altered),,-,Body,Garb of a rune cursed citizen,"Garb decorated with intricate embroidery. Standard wear for commoners of the Lands Between. The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",4.1,4.2,6.1,6.1,5.3,12.6,11.9,12.4,12.6,34,21,-,61,-,64,0,10,White,Yes,811100,81,1100,14271,14271,1,10,600050,6081010,-1,-1,
Aristocrat Garb,,-,Body,Aristocrat garb featuring fine gold embroidery,"High quality garb adorned with fine golden embroidery. Travel attire worn by nobles in the capital. Terribly faded and tattered. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",4.9,7.8,8.6,7.8,7.8,6.5,6.9,7.8,6.5,47,33,-,36,-,30,2,10,Purple,Yes,370100,37,0100,13541,13541,1,10,600060,-1,-1,-1,
Aristocrat Garb (Altered),,-,Body,"Aristocrat garb, adorned with golden embroidery","High quality garb adorned with fine golden embroidery. Travel attire worn by nobles in the capital. Terribly faded and tattered. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",4.1,7.1,8.0,7.1,7.1,6.1,6.7,7.1,6.1,42,29,-,32,-,25,1,10,White,Yes,371100,37,1100,13551,13551,1,10,600070,-1,-1,-1,
Aristocrat Coat,,-,Body,Aristocrat coat featuring fine gold embroidery,"Tanned leather coat adorned with fine gold embroidery. Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",7.1,8.8,8.8,8.0,8.8,10.9,11.4,10.9,8.8,50,32,-,42,-,46,3,10,White,Yes,380100,38,0100,13561,13561,1,10,600080,-1,-1,-1,
Old Aristocrat Gown,,-,Body,Aristocrat gown featuring fine gold embroidery,"Gown of soft cloth adorned with fine gold embroidery. Travel attire worn by nobles in the capital. Garb favored by the aged. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",5.1,7.1,7.1,6.7,7.1,9.5,10.2,9.5,7.1,42,25,-,35,-,38,2,10,White,Yes,390100,39,0100,13571,13571,1,10,600090,-1,-1,-1,
Page Garb,,-,Body,Garb worn by pages,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",5.1,6.7,6.1,5.3,5.3,12.8,12.6,13.0,13.0,42,23,-,83,-,83,2,200,White,Yes,220100,22,0100,13261,13261,1,10,600100,-1,-1,-1,
Page Garb (Altered),,-,Body,Tunic worn by pages,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",4.5,6.3,5.5,4.4,4.4,12.8,12.6,13.0,13.0,34,19,-,64,-,64,1,200,White,Yes,221100,22,1100,13271,13271,1,10,600110,-1,-1,-1,
High Page Clothes,,-,Body,Garb of a Page loyal to a certain noble family,"Clothes of a page selected for special privileges by the noble they serve. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",5.3,5.5,6.9,5.5,5.5,13.5,12.8,13.0,13.2,42,23,-,76,-,76,2,200,White,Yes,1990100,199,0100,15391,15391,1,10,600120,-1,-1,-1,
High Page Clothes (Altered),,-,Body,Vest of a Page loyal to a certain noble family,"Clothes of a page selected for special privileges by the noble they serve. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",4.3,4.4,6.3,4.4,4.4,13.2,12.6,12.8,13.0,34,19,-,61,-,61,1,200,White,Yes,1991100,199,1100,15401,15401,1,10,600130,-1,-1,-1,
Guardian Garb,,-,Body,Vest worn by the people of rotted abundance,"Engraved golden garb. Worn by the guardians of the Minor Erdtrees. In accordance with an ancient pact with the Erdtree, it is said that their deaths led not to destruction, but instead to renewed, eternal life as guardians.",7.7,9.5,9.5,8.8,8.0,10.9,10.2,10.9,10.9,61,38,-,50,-,42,4,100,White,Yes,331100,33,1100,13471,13471,1,10,600140,-1,-1,-1,
Guardian Garb (Full Bloom),,-,Body,Armor worn by the people of rotted abundance,"Engraved golden garb. Worn by the guardians of the Minor Erdtrees. Raises the HP recovery effects of the Flask of Crimson Tears, but greatly lowers fire damage negation. It is said that the blood-red flowers blooming on their backs mark the senescence of their ancient pact. Perhaps the guardians are part tree already.",8.8,10.2,10.2,9.5,9.5,11.9,-2.3,11.9,11.4,71,46,-,57,-,55,5,100,White,Yes,330100,33,0100,13461,13461,1,10,600150,6033010,-1,-1,
Festive Garb,,-,Body,Cloak worn for a humble festival,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills. Faintly bloodstained.",4.1,4.2,5.3,6.1,5.3,12.6,11.9,12.4,13.0,42,21,-,67,-,67,1,100,White,Yes,800100,80,0100,14231,14231,1,10,600160,-1,-1,-1,
Festive Garb (Altered),,-,Body,Ceremonial garb worn for a humble festival,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills. Faintly bloodstained.",3.2,2.7,4.2,5.3,4.2,12.4,11.4,11.9,12.8,34,16,-,57,-,57,0,100,White,Yes,801100,80,1100,14241,14241,1,10,600170,-1,-1,-1,
Blue Festive Garb,,-,Body,Cloak worn for a humble festival,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills. Use of this garb, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",4.1,4.2,4.2,6.1,5.3,12.6,11.4,12.6,13.8,46,21,-,71,-,63,1,100,White,Yes,802100,80,2100,14251,14251,1,10,600180,-1,-1,-1,
Prisoner Clothing,,-,Body,Tattered clothing,"Tattered clothing. Worn by a prisoner convicted of an appalling crime. Never once washed, every fiber is filthy.",3.2,4.2,5.3,5.3,4.2,11.9,11.4,11.4,12.6,42,23,-,63,-,63,1,100,White,Yes,890100,89,0100,14441,14441,1,10,600190,-1,-1,-1,
Mushroom Body,,-,Body,Armor with slime mold growing on it,"Mushrooms found growing all over the body. These overgrown mushrooms have colonized the torso. To those enraptured by the scarlet rot, they are holy vestments that root one to the earth.",5.1,6.1,7.1,2.7,5.3,13.3,5.3,12.8,13.0,102,24,-,90,-,76,1,100,White,Yes,1130100,113,0100,14941,14941,1,10,600200,-1,-1,-1,
Astrologer Robe,,-,Body,Robe of the glintstone polishers,"Robe fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",6.3,6.7,6.1,6.1,6.1,13.5,13.0,13.3,13.0,50,24,-,90,-,76,5,100,White,Yes,630100,63,0100,13951,13951,1,20,601000,-1,-1,-1,
Astrologer Robe (Altered),,-,Body,Robe of the glintstone polishers,"Robe fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",5.3,6.1,5.3,5.3,5.3,13.3,12.8,13.0,12.8,42,21,-,75,-,64,2,100,White,Yes,631100,63,1100,13961,13961,1,20,601010,-1,-1,-1,
Juvenile Scholar Robe,,-,Body,Robe worn by students of the Raya Lucaria Academy,"Robe worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy. Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it. Rebirth is as sleep to them, and with each awakening, memory fades into oblivion.",4.1,5.3,6.1,6.1,5.3,12.8,11.9,12.4,12.6,38,25,-,63,-,71,1,500,Purple,Yes,1030100,103,0100,14771,14771,1,20,601020,-1,-1,-1,
Raya Lucarian Robe,,-,Body,Robe worn by Raya Lucaria's magic scholars,"Robe worn by Raya Lucaria's scholars of sorcery. Those who dedicate themselves to the study of glintstones formed from starry amber receive this modest yet elegant deep navy garb after making their vows of virtue and austerity. But with extended life, one is apt to forget old vows.",4.1,5.3,6.1,6.1,2.7,13.5,12.6,12.4,12.8,42,18,-,67,-,63,1,100,Purple,Yes,830100,83,0100,14311,14311,1,20,601030,-1,-1,-1,
Lazuli Robe,,-,Body,"Sorcerer's robe, dyed in a beautiful cerulean hue","Robe worn by scholars of the Lazuli Conspectus, singular among the greater Raya Lucaria Academy. These scholars, who sought to master Carian sorcery, instead learned to see the moon as equal to the stars. This robe, in the hue of the full moon, signifies their heresy.",4.1,6.1,5.3,4.2,2.7,13.8,11.9,12.4,12.8,42,21,-,67,-,67,2,100,Purple,Yes,2030000,203,0000,15451,15451,1,20,601040,-1,-1,-1,
Battlemage Robe,,-,Body,Robe of an unaffiliated glintstone sorcerer,"Robe worn by scholars of the Raya Lucaria Academy scholar, tattered from being worn on the battlefield. Whenever war broke out and the academy sealed its gates, only Haima's scholars dared venture outside. Seclusion is no way to foster discovery; it is only a convenient form of escape.",4.1,5.3,6.1,4.2,5.3,13.0,11.9,12.4,12.6,42,23,-,63,-,71,2,500,Purple,Yes,1000100,100,0100,14681,14681,1,20,601050,-1,-1,-1,
